seed,policy,n_mechanisms,n_orientations,n_interventions,base_noise,perturbation_scale,ig_mode,budget,success_95,correct_argmax,n95,c95,posterior_true,score_evals,orientation_switches,runtime_s,true_h
0,oarl_no_stability,8,8,10,1.5,0.35,proxy,35,1,1,8,4.658913380959828,0.9859684799171338,640,3,0.004404261999997772,3
0,full_oarl,8,8,10,1.5,0.35,proxy,35,0,1,36,16.163414654919343,0.7954487578470635,2800,6,0.01962398900000295,3
0,oracle,8,8,10,1.5,0.35,proxy,35,1,1,4,2.3294566904799145,0.9556985789738655,320,1,0.0033965040000012436,3
1,passive,8,8,10,1.5,0.35,proxy,35,0,0,36,29.128851783549756,0.125,0,0,0.0005054159999993146,6
1,fixed_oed,8,8,10,1.5,0.35,proxy,35,0,0,36,30.604168810350437,0.125,350,0,0.0028202729999975418,6
1,random_orientation,8,8,10,1.5,0.35,proxy,35,1,1,9,8.877156593673483,0.9955365548042878,0,8,0.00028691300000005526,6
1,generic_oed,8,8,10,1.5,0.35,proxy,35,1,1,5,5.1233317557574365,0.9655213636804194,400,0,0.002962933999999251,6
1,oarl_no_stability,8,8,10,1.5,0.35,proxy,35,1,1,6,6.040468126118943,0.9977920554869318,480,0,0.0032725209999995286,6
1,full_oarl,8,8,10,1.5,0.35,proxy,35,0,0,36,20.5785698822213,0.03659095472958701,2800,3,0.01965326200000206,6
1,oracle,8,8,10,1.5,0.35,proxy,35,1,1,5,4.922219040796391,0.9656381959739777,400,0,0.004131790000002411,6
2,passive,8,8,10,1.5,0.35,proxy,35,0,0,36,56.1129208859149,0.125,0,0,0.0005344889999996383,7
2,fixed_oed,8,8,10,1.5,0.35,proxy,35,0,0,36,115.58901824523075,0.125,350,0,0.0028105690000010952,7
2,random_orientation,8,8,10,1.5,0.35,proxy,35,0,1,36,71.45186760531121,0.9116089868144448,0,31,0.0005773619999978052,7
2,generic_oed,8,8,10,1.5,0.35,proxy,35,1,1,18,18.90110136224945,0.9814484249170076,1440,5,0.013407661999998766,7
2,oarl_no_stability,8,8,10,1.5,0.35,proxy,35,0,0,36,10.673515312254512,0.004601818183972106,2800,6,0.019437022999998277,7
2,full_oarl,8,8,10,1.5,0.35,proxy,35,0,1,36,23.738969550753335,0.2764107756544277,2800,2,0.022686850999999564,7
2,oracle,8,8,10,1.5,0.35,proxy,35,1,1,24,22.859909107710493,0.9692398334300174,1920,3,0.02141926899999902,7
3,passive,8,8,10,1.5,0.35,proxy,35,0,0,36,26.31282822882048,0.125,0,0,0.000508620000001514,2
3,fixed_oed,8,8,10,1.5,0.35,proxy,35,0,0,36,33.256036692861734,0.125,350,0,0.0028810330000013096,2
3,random_orientation,8,8,10,1.5,0.35,proxy,35,0,1,36,42.18209183342596,0.3035311276147626,0,29,0.0005720740000008107,2
3,generic_oed,8,8,10,1.5,0.35,proxy,35,0,0,36,62.749761177513314,0.14597426863263624,2800,8,0.01850991499999921,2
3,oarl_no_stability,8,8,10,1.5,0.35,proxy,35,1,1,33,19.246872558217085,0.9599972603694469,2640,7,0.017755732000001245,2
3,full_oarl,8,8,10,1.5,0.35,proxy,35,0,1,36,19.164724907913318,0.23252394905006907,2800,2,0.019873916999998187,2
3,oracle,8,8,10,1.5,0.35,proxy,35,1,1,28,30.671661424975863,0.9709429967844142,2240,4,0.022878542999997364,2
4,passive,8,8,10,1.5,0.35,proxy,35,0,0,36,54.66736317899713,0.125,0,0,0.0005567920000011384,1
4,fixed_oed,8,8,10,1.5,0.35,proxy,35,0,0,36,72.15938800970312,0.125,350,0,0.002762397999998001,1
4,random_orientation,8,8,10,1.5,0.35,proxy,35,0,0,36,42.11742667768951,0.4535634381792225,0,32,0.0005695809999970436,1
4,generic_oed,8,8,10,1.5,0.35,proxy,35,1,1,16,20.357489006361853,0.9818825014098623,1280,6,0.008527578999999008,1
4,oarl_no_stability,8,8,10,1.5,0.35,proxy,35,1,1,14,10.017758783758822,0.9639787955915236,1120,3,0.008314603999998837,1
4,full_oarl,8,8,10,1.5,0.35,proxy,35,0,0,36,31.605505986913723,0.04664852458003688,2800,2,0.02072880999999782,1
4,oracle,8,8,10,1.5,0.35,proxy,35,1,1,16,19.752583650320386,0.9652736939549791,1280,8,0.013008473000002851,1
5,passive,8,8,10,1.5,0.35,proxy,35,0,0,36,33.38549710517446,0.125,0,0,0.0005269179999984885,5
5,fixed_oed,8,8,10,1.5,0.35,proxy,35,0,0,36,31.670155545743707,0.125,350,0,0.0027396849999981043,5
5,random_orientation,8,8,10,1.5,0.35,proxy,35,0,0,36,44.465444886492186,0.010558574846900417,0,32,0.0010229999999999961,5
5,generic_oed,8,8,10,1.5,0.35,proxy,35,1,1,20,27.79444401018658,0.9793098394390376,1600,12,0.010688898999998031,5
