seed,policy,regime,n_mechanisms,n_orientations,n_interventions,base_noise,perturbation_scale,lambda_stability,gamma_cost,ig_mode,budget,success_95,correct_argmax,n95,c95,total_cost,penalized_c95,posterior_true,score_evals,orientation_switches,runtime_s,true_h
3,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,10,10.019941324292882,10.019941324292882,10.019941324292882,0.9588632788863936,800,4,0.00031717900037619984,10
4,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,4,3.7042967432451652,3.7042967432451652,3.7042967432451652,0.9990917586339472,320,2,0.0001428559999112622,3
5,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,4,2.97171180277934,2.97171180277934,2.97171180277934,0.9522118413486322,320,1,0.00016957600018940866,9
6,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,26,44.25687200341445,44.25687200341445,44.25687200341445,0.9681604623441523,2080,6,0.000846099999762373,1
7,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,11,20.680496595495832,20.680496595495832,20.680496595495832,0.9556034073070427,880,5,0.0003503600000840379,10
8,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,5,5.6748715445996485,5.6748715445996485,5.6748715445996485,0.9864505998880456,400,4,0.00021538600003623287,8
9,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,25,27.90834226054552,27.90834226054552,27.90834226054552,0.9691669085029553,2000,13,0.0007903259997874557,10
10,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,8,6.857840325178369,6.857840325178369,6.857840325178369,0.9655086994541329,640,4,0.00026015299999926356,8
11,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,9,11.297157211550415,11.297157211550415,11.297157211550415,0.9589208757334113,720,4,0.000392023000131303,0
12,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,10,11.803713920758076,11.803713920758076,11.803713920758076,0.9766424183979073,800,5,0.0003384520000508928,0
13,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,13,16.05811238959879,16.05811238959879,16.05811238959879,0.9721721218971746,1040,9,0.0004426700002113648,6
14,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,31,24.110069602331368,24.110069602331368,24.110069602331368,0.9757673918171925,2480,14,0.0009604930000932654,1
15,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,19,23.715551947212905,23.715551947212905,23.715551947212905,0.9680163416036852,1520,10,0.0006168730001263611,11
16,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,8,14.93838011453066,14.93838011453066,14.93838011453066,0.974486486330417,640,4,0.0002894079998441157,1
