seed,policy,regime,n_mechanisms,n_orientations,n_interventions,base_noise,perturbation_scale,lambda_stability,gamma_cost,ig_mode,budget,success_95,correct_argmax,n95,c95,total_cost,penalized_c95,posterior_true,score_evals,orientation_switches,runtime_s,true_h,condition
6013,full_oarl,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,4,4.114772417817507,4.114772417817507,4.114772417817507,0.9910026330744437,320,2,0.1451966170002379,5,standard_clean
6014,generic_oed,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,12,13.196355948517542,13.196355948517542,13.196355948517542,0.9566254096280997,960,9,0.43457553799999005,0,standard_clean
6014,full_oarl,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,12,13.196355948517542,13.196355948517542,13.196355948517542,0.9566254096280997,960,9,0.4338501920001363,0,standard_clean
6015,generic_oed,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,29,35.95983686233285,35.95983686233285,35.95983686233285,0.9621583296639723,2320,9,1.0458292530001927,6,standard_clean
6015,full_oarl,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,29,35.95983686233285,35.95983686233285,35.95983686233285,0.9621583296639723,2320,9,1.0464362819998314,6,standard_clean
6016,generic_oed,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,3,3.2542003085573032,3.2542003085573032,3.2542003085573032,0.9974184481015685,240,2,0.10893907400031821,7,standard_clean
6016,full_oarl,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,3,3.2542003085573032,3.2542003085573032,3.2542003085573032,0.9974184481015685,240,2,0.108934355999736,7,standard_clean
6017,generic_oed,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,19,25.253247849770865,25.253247849770865,25.253247849770865,0.979832090622209,1520,13,0.6886442370000623,0,standard_clean
6017,full_oarl,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,19,25.253247849770865,25.253247849770865,25.253247849770865,0.979832090622209,1520,13,0.6894993669998257,0,standard_clean
6018,generic_oed,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,20,14.742293389618373,14.742293389618373,14.742293389618373,0.962603000338669,1600,10,0.7258977550000054,0,standard_clean
6018,full_oarl,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,20,14.742293389618373,14.742293389618373,14.742293389618373,0.962603000338669,1600,10,0.7249699569997574,0,standard_clean
6019,generic_oed,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,18,49.855465418425865,49.855465418425865,49.855465418425865,0.9615247302305443,1440,7,0.6554293839999445,0,standard_clean
6019,full_oarl,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,18,49.855465418425865,49.855465418425865,49.855465418425865,0.9615247302305443,1440,7,0.646495848000086,0,standard_clean
7000,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,3,1.9921344935258023,1.9921344935258023,1.9921344935258023,0.9858166559949718,240,0,0.10466279399997802,2,informative_unstable
7000,full_oarl,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,3,1.9921344935258023,1.9921344935258023,1.9921344935258023,0.9858166559949718,240,0,0.10492029300030481,2,informative_unstable
7001,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,4,3.5556769521448603,3.5556769521448603,3.5556769521448603,0.9975370706989259,320,0,0.13856015500005014,5,informative_unstable
7001,full_oarl,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,4,3.5556769521448603,3.5556769521448603,3.5556769521448603,0.9975370706989259,320,0,0.13862601399978303,5,informative_unstable
7002,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,10,8.593442928991784,8.593442928991784,8.593442928991784,0.9963328343503781,800,0,0.2751494490003097,6,informative_unstable
7002,full_oarl,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,10,8.593442928991784,8.593442928991784,8.593442928991784,0.9963328343503781,800,0,0.2721889399999782,6,informative_unstable
7003,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,4,3.819177836028385,3.819177836028385,3.819177836028385,0.9887453569773155,320,2,0.13467438799989395,7,informative_unstable
